                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
33,0.036632,0.036298,0.043845,0.011905,0.41259,0.25389,0.18994,0.093682,0.376,0.21308,0.15725,0.069518,0.044292,0.058842,0.059951,0.022142,0.009208,0.009208,0.009208
12,0.052781,0.047357,0.062402,0.023892,0.16647,0.21672,0.10587,0.044445,0.16112,0.21297,0.10074,0.048283,0.055058,0.058893,0.049249,0.023332,0.009703,0.009703,0.009703
55,0.03177,0.033113,0.039887,0.0088328,0.30545,0.31123,0.23459,0.12669,0.29565,0.31041,0.22344,0.088761,0.042958,0.05978,0.061574,0.019666,0.0086635,0.0086635,0.0086635
2,0.090405,0.084867,0.083951,0.038283,0.018013,0.31375,0.0212,0.0064351,0.015215,0.23246,0.011975,0.0033167,0.066663,0.059942,0.062795,0.036319,0.079289,0.0022886,0.0022886
5,0.057282,0.055746,0.06619,0.03244,0.10095,0.28782,0.093577,0.04127,0.074082,0.22865,0.075235,0.030787,0.05216,0.060137,0.075258,0.030313,0.057642,0.0046418,0.0046418
21,0.041503,0.041214,0.052943,0.016016,0.15499,0.23087,0.12598,0.047773,0.13563,0.19588,0.10711,0.039767,0.054083,0.060966,0.051807,0.040265,0.009505,0.009505,0.009505
56,0.031548,0.033051,0.03844,0.0084782,0.2397,0.29437,0.21601,0.11869,0.20281,0.24281,0.17183,0.081203,0.044191,0.062634,0.063417,0.028239,0.0086388,0.0086388,0.0086388
22,0.041309,0.043421,0.051638,0.016691,0.17635,0.1751,0.11995,0.04792,0.13578,0.13794,0.097367,0.035008,0.054188,0.064196,0.060441,0.029919,0.0094803,0.0094803,0.0094803
20,0.044942,0.042989,0.054723,0.01572,0.016829,0.041667,0.0239,0.0085337,0.017586,0.041667,0.013048,0.0046936,0.057432,0.070263,0.05345,0.052121,0.0095298,0.0095298,0.0095298
1,0.11186,0.10527,0.085636,0.039881,0.008296,0.44706,0.012993,0.0036745,0.0043824,0.23749,0.0056246,0.0016793,0.084928,0.073936,0.060341,0.033536,0.086496,0.0014963,0.0014963
0,0.11924,0.13059,0.096584,0.040705,0.0028732,0.065839,0.0016334,0.00049051,0.00146,0.021653,0.00081199,0.00021891,0.11371,0.088085,0.06877,0.036768,0.0937,0.0007,0.0007
400,0.48571,0.53094,0.45887,0.27945,0.44823,0.49635,0.42236,0.23056,0.034614,0.042529,0.063655,0.026312,,,,,,,
