                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 0.9817,                 1.1943,                 1.4283,                0.49982,                0.35052,                0.33601,                0.22952,                 1.5594,                 2.6397,                 2.2742,               0.004753,               0.004753,               0.004753
                     55,                0.97237,                 1.1712,                 1.4147,                0.57356,                0.46136,                0.48482,                0.32739,                  1.299,                  1.808,                 1.8678,               0.004654,               0.004654,               0.004654
                     56,                0.96315,                 1.1751,                 1.4078,                0.55539,                0.40129,                 0.4279,                0.28932,                 1.2732,                 1.7376,                 1.7879,               0.004555,               0.004555,               0.004555
                     57,                0.95732,                 1.1691,                 1.4043,                0.51477,                0.50594,                0.49815,                0.33165,                 1.1801,                 1.4901,                 1.7082,               0.004456,               0.004456,               0.004456
                     58,                0.96884,                 1.1823,                 1.4232,                0.63337,                0.48337,                 0.5103,                0.35488,                 1.2184,                 1.4219,                 1.7346,               0.004357,               0.004357,               0.004357
                     59,                0.95295,                 1.1532,                 1.3952,                0.59832,                0.54213,                0.56792,                0.39225,                 1.1507,                 1.3583,                 1.6613,               0.004258,               0.004258,               0.004258
                     60,                0.94731,                 1.1331,                 1.3956,                0.57318,                0.49717,                  0.539,                0.36889,                 1.1368,                 1.4515,                 1.6674,               0.004159,               0.004159,               0.004159
                     61,                0.94099,                 1.1213,                 1.3894,                0.41405,                0.44302,                0.41768,                 0.2943,                 1.2044,                 1.5795,                 1.7445,                0.00406,                0.00406,                0.00406
                     62,                0.92932,                 1.1218,                 1.3776,                0.57444,                0.49635,                0.48321,                0.33772,                 1.3164,                 1.7305,                 1.8878,               0.003961,               0.003961,               0.003961
                     63,                 0.9346,                 1.1238,                  1.388,                0.56734,                 0.5695,                0.55903,                0.38348,                 1.1267,                 1.3642,                 1.6394,               0.003862,               0.003862,               0.003862
                     64,                0.92851,                  1.106,                 1.3771,                0.60823,                0.57482,                0.56928,                0.39545,                  1.132,                 1.4835,                 1.6596,               0.003763,               0.003763,               0.003763
                     65,                0.91767,                 1.0842,                 1.3693,                0.57186,                 0.5475,                0.54602,                0.37865,                 1.0897,                 1.2978,                 1.6235,               0.003664,               0.003664,               0.003664
                     66,                0.92468,                 1.0959,                  1.379,                0.68345,                0.42972,                0.49022,                0.34242,                 1.2307,                 1.4678,                  1.824,               0.003565,               0.003565,               0.003565
                     67,                0.91845,                 1.0997,                 1.3686,                0.63084,                0.46123,                0.48275,                0.33589,                 1.2366,                 1.6875,                 1.7864,               0.003466,               0.003466,               0.003466
                     68,                0.89859,                 1.0732,                 1.3529,                0.52671,                0.57382,                 0.5353,                0.37553,                 1.1217,                 1.4247,                 1.6596,               0.003367,               0.003367,               0.003367
                     69,                0.90384,                 1.0745,                  1.369,                0.59134,                0.54693,                0.55911,                0.38566,                 1.1152,                 1.3736,                 1.6511,               0.003268,               0.003268,               0.003268
                     70,                0.89958,                 1.0733,                 1.3615,                0.63108,                0.54435,                 0.5829,                0.40161,                 1.0988,                 1.2832,                 1.6571,               0.003169,               0.003169,               0.003169
                     71,                 0.8998,                 1.0584,                 1.3597,                0.57956,                0.52035,                0.54957,                0.38135,                 1.1343,                 1.4211,                 1.7026,                0.00307,                0.00307,                0.00307
                     72,                0.89031,                 1.0448,                 1.3447,                0.61648,                0.58839,                0.59986,                0.40432,                 1.1122,                 1.2766,                  1.652,               0.002971,               0.002971,               0.002971
                     73,                0.88359,                 1.0392,                 1.3379,                0.52841,                0.56016,                0.55691,                0.38861,                 1.0663,                 1.5306,                 1.6208,               0.002872,               0.002872,               0.002872
                     74,                0.87383,                 1.0236,                 1.3318,                0.59251,                0.42907,                0.47108,                0.33665,                 1.1449,                 1.8818,                 1.6731,               0.002773,               0.002773,               0.002773
                     75,                0.87343,                 1.0247,                 1.3323,                0.54447,                 0.5738,                0.54265,                0.36883,                 1.0636,                 1.3775,                 1.6264,               0.002674,               0.002674,               0.002674
                     76,                0.85255,                 1.0041,                 1.3249,                0.63504,                0.50155,                0.56768,                0.39426,                 1.0936,                 1.3908,                 1.6417,               0.002575,               0.002575,               0.002575
                     77,                0.85256,                0.99654,                 1.3121,                0.58939,                0.58744,                0.58594,                0.41137,                 1.0724,                 1.4089,                 1.6267,               0.002476,               0.002476,               0.002476
                     78,                0.84048,                0.98564,                 1.2977,                0.63188,                0.59902,                0.60576,                0.42987,                 1.0539,                 1.2639,                 1.5964,               0.002377,               0.002377,               0.002377
                     79,                0.84803,                0.98215,                 1.3159,                0.58835,                0.55467,                0.55959,                0.39493,                 1.1011,                 1.3728,                 1.6449,               0.002278,               0.002278,               0.002278
                     80,                0.83939,                0.97468,                 1.3068,                0.62415,                0.59098,                 0.6133,                0.41019,                 1.1469,                 1.2675,                  1.685,               0.002179,               0.002179,               0.002179
                     81,                 0.8332,                0.95499,                 1.2861,                0.59355,                0.58345,                0.59086,                  0.415,                 1.0904,                 1.2152,                   1.63,                0.00208,                0.00208,                0.00208
