               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.025667,            0.064688,             0.00481,             0.65029,             0.61793,             0.66635,             0.44052,            0.025331,              0.0504,           0.0076626,            0.001783,            0.001783,            0.001783
                  85,            0.024864,            0.064093,            0.004682,              0.6193,             0.59077,             0.61459,             0.41994,            0.027065,            0.052062,           0.0068325,            0.001684,            0.001684,            0.001684
                  86,             0.02467,            0.064266,            0.004939,             0.58064,             0.62875,             0.61412,             0.42453,            0.026069,            0.052276,           0.0061783,            0.001585,            0.001585,            0.001585
                  87,            0.024559,            0.064232,           0.0049128,             0.63574,             0.60484,             0.63938,             0.42715,            0.025899,            0.051556,           0.0090279,            0.001486,            0.001486,            0.001486
                  88,            0.024202,            0.063053,           0.0044154,             0.62517,              0.5936,             0.58462,             0.39815,            0.026229,            0.052789,           0.0081766,            0.001387,            0.001387,            0.001387
                  89,            0.024209,            0.063546,           0.0048094,             0.57944,             0.61208,             0.60647,             0.40125,            0.024426,            0.056437,            0.006321,            0.001288,            0.001288,            0.001288
                  90,            0.023881,            0.062595,           0.0043685,             0.61278,             0.63651,             0.63981,             0.43788,            0.025444,            0.054154,            0.007647,            0.001189,            0.001189,            0.001189
                  91,            0.023836,            0.061843,           0.0042073,             0.61279,             0.65793,             0.63713,              0.4302,            0.026188,            0.050863,           0.0070423,             0.00109,             0.00109,             0.00109
                  92,            0.023297,            0.062042,           0.0039216,             0.60918,             0.65777,             0.65139,              0.4467,            0.025479,            0.050737,           0.0068813,            0.000991,            0.000991,            0.000991
                  93,            0.022964,             0.05981,           0.0043825,             0.63174,             0.66048,             0.65835,             0.45567,            0.025176,            0.051057,           0.0076635,            0.000892,            0.000892,            0.000892
                  94,            0.023149,             0.05881,           0.0040102,             0.65252,             0.65852,             0.67306,             0.45838,            0.024448,            0.051282,           0.0065475,            0.000793,            0.000793,            0.000793
                  95,            0.022554,            0.058858,           0.0035955,             0.62242,             0.69303,             0.66351,             0.46184,            0.024994,            0.051296,           0.0072071,            0.000694,            0.000694,            0.000694
                  96,            0.022769,            0.059702,           0.0037331,             0.59923,             0.68487,             0.65107,             0.45479,            0.025533,            0.052643,           0.0074753,            0.000595,            0.000595,            0.000595
                  97,            0.021811,            0.059612,            0.003522,             0.65327,             0.66377,             0.66391,             0.46124,            0.024307,            0.051766,           0.0072075,            0.000496,            0.000496,            0.000496
                  98,            0.021833,            0.056999,           0.0037129,             0.61229,             0.69958,             0.66303,             0.45284,            0.024835,            0.050192,           0.0070258,            0.000397,            0.000397,            0.000397
                  99,            0.021781,            0.058533,            0.003875,             0.60918,             0.67739,             0.67341,             0.46319,            0.024443,             0.05072,           0.0063623,            0.000298,            0.000298,            0.000298
