                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                  1.774,                 3.6457,                 2.7236,                 2.3057,                0.47466,                 0.2093,                0.09592,                0.03884,                0.45925,                0.23265,                0.09104,                0.03474,                 2.2127,                 4.2577,                 3.3954,                 2.9807,              0.0089358,              0.0089358,              0.0089358
                     45,                 1.8033,                 3.7097,                 2.7201,                 2.3026,                0.49147,                0.16522,                0.10728,                0.04671,                0.49521,                0.17148,                0.08989,                0.03573,                 2.1016,                 4.2227,                 3.0797,                 2.8378,               0.008911,               0.008911,               0.008911
                     46,                   1.78,                 3.7658,                 2.7238,                 2.2776,                0.45942,                0.12536,                0.10183,                0.04937,                0.50825,                0.11038,                 0.0779,                0.02653,                 2.0182,                  4.541,                 3.0083,                 2.7631,              0.0088863,              0.0088863,              0.0088863
                     47,                 1.7895,                 3.6593,                 2.7539,                 2.2727,                 0.1975,                0.14871,                0.13357,                0.04695,                0.18222,                0.13748,                0.12403,                0.03726,                  2.225,                 5.5141,                  3.029,                 2.9905,              0.0088615,              0.0088615,              0.0088615
                     48,                 1.7133,                 3.6139,                 2.7136,                 2.2588,                0.49845,                0.16457,                0.08331,                0.04019,                0.47955,                0.16832,                0.08674,                0.03694,                 2.1707,                 5.0528,                 4.1244,                  2.808,              0.0088368,              0.0088368,              0.0088368
                     49,                 1.7529,                 3.6643,                  2.718,                 2.3057,                0.81747,                0.11366,                0.17898,                0.10596,                0.81747,                0.11366,                0.17148,                0.08117,                 1.8324,                 4.1792,                 3.2446,                 2.5988,               0.008812,               0.008812,               0.008812
                     50,                 1.7711,                 3.6945,                 2.7067,                 2.3054,                0.54042,                0.21304,                  0.139,                0.06418,                0.54299,                0.21679,                0.14348,                0.05517,                 2.0176,                  4.102,                 3.5802,                  2.738,              0.0087872,              0.0087872,              0.0087872
                     51,                 1.7304,                 3.5904,                 2.7167,                 2.2452,                0.49356,                0.22447,                0.13716,                0.07399,                0.49883,                0.23197,                0.13805,                0.05837,                 1.9945,                 3.9627,                 3.0277,                 2.7059,              0.0087625,              0.0087625,              0.0087625
                     52,                 1.7268,                 3.6626,                 2.6497,                 2.2053,                0.17245,                0.07204,                0.04643,                0.02414,                0.18628,                0.07953,                0.04973,                0.02002,                 2.1035,                 4.8674,                 3.9099,                 2.8182,              0.0087378,              0.0087378,              0.0087378
                     53,                 1.7584,                 3.6242,                 2.6373,                 2.2485,                0.52278,                 0.2375,                0.16674,                0.09167,                0.51898,                0.22252,                0.15418,                0.06602,                 1.9139,                 4.0862,                 2.7626,                 2.6203,               0.008713,               0.008713,               0.008713
                     54,                 1.7618,                 3.5522,                 2.6068,                 2.2732,                0.68463,                 0.1197,                0.17936,                0.09383,                0.68463,                 0.1197,                0.17736,                0.07988,                  1.805,                 4.1438,                 3.1225,                 2.5576,              0.0086882,              0.0086882,              0.0086882
                     55,                 1.7109,                 3.6129,                 2.6435,                 2.2291,                0.51947,                0.16722,                0.12756,                0.06643,                0.54414,                0.16722,                0.11887,                0.05476,                 1.8559,                 3.9487,                  3.226,                 2.6041,              0.0086635,              0.0086635,              0.0086635
                     56,                 1.7463,                  3.522,                 2.6625,                  2.248,                 0.4998,                0.13714,                0.18453,                0.09203,                0.29796,                0.08995,                 0.1378,                0.06094,                 1.9642,                 3.9978,                 3.0434,                 2.6819,              0.0086388,              0.0086388,              0.0086388
                     57,                 1.7399,                 3.5729,                 2.6602,                  2.228,                0.18018,                0.18364,                0.12669,                0.06029,                0.22223,                0.11787,                0.10595,                0.04451,                 1.8879,                 4.1369,                 2.9214,                 2.5987,               0.008614,               0.008614,               0.008614
                     58,                 1.6779,                  3.545,                 2.5676,                 2.1633,                0.54401,                0.28883,                0.20274,                0.10353,                0.52932,                0.27759,                0.18094,                0.07526,                 1.8129,                 3.8422,                 2.8133,                 2.4688,              0.0085893,              0.0085893,              0.0085893
                     59,                 1.7462,                 3.5949,                 2.6528,                 2.2547,                0.17409,                0.29777,                0.17942,                0.08793,                0.19426,                0.23438,                0.16482,                 0.0712,                 1.7591,                 3.9207,                 2.8072,                 2.4968,              0.0085645,              0.0085645,              0.0085645
                     60,                 1.7433,                 3.7308,                  2.654,                 2.2449,                0.06817,                0.06169,                0.03054,                0.01143,                0.03802,                0.03084,                0.01841,                0.00519,                 2.4693,                 14.329,                 4.1874,                 3.1735,              0.0085398,              0.0085398,              0.0085398
                     61,                 1.6963,                  3.624,                 2.6396,                 2.1842,                0.37361,                0.02247,                0.01986,                0.00698,                0.36645,                0.01873,                0.00986,                0.00248,                 2.6768,                 295.83,                 4.8323,                 3.5861,               0.008515,               0.008515,               0.008515
                     62,                 1.7037,                 3.5099,                 2.6071,                 2.2091,                0.40042,                0.05852,                0.03789,                0.01639,                0.40191,                0.06367,                0.03574,                0.01449,                 2.1125,                  16.46,                    nan,                 2.7922,              0.0084903,              0.0084903,              0.0084903
                     63,                  1.714,                  3.561,                 2.6532,                 2.1972,                0.07468,                0.08041,                0.02681,                0.00813,                0.05994,                0.03745,                0.01925,                 0.0046,                    nan,                    nan,                    nan,                    nan,              0.0084655,              0.0084655,              0.0084655
                     64,                 1.7046,                 3.5585,                 2.5974,                 2.1943,                0.04078,                0.13175,                0.01731,                0.00606,                0.04451,                0.09628,                0.01504,                0.00449,                    nan,                    nan,                    nan,                    nan,              0.0084408,              0.0084408,              0.0084408
                     65,                 1.7044,                 3.4668,                  2.553,                 2.2189,                0.14203,                 0.2187,                0.09159,                 0.0344,                0.15069,                0.16416,                0.07576,                0.02818,                    nan,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     66,                 1.6895,                 3.5597,                 2.5232,                  2.183,                0.10556,                0.16149,                0.06564,                0.02664,                0.09206,                0.17423,                0.04863,                0.01655,                    nan,                  163.4,                    nan,                    nan,              0.0083913,              0.0083913,              0.0083913
                     67,                 1.6892,                 3.5112,                 2.4978,                 2.1544,                0.08064,                0.34772,                0.08113,                0.03876,                0.14546,                0.22424,                0.06441,                0.02565,                 2.0584,                 4.3474,                 4.2732,                 2.6838,              0.0083665,              0.0083665,              0.0083665
                     68,                 1.6968,                 3.5199,                 2.4898,                 2.1751,                0.49644,                 0.2104,                0.14807,                0.07701,                0.49644,                 0.2104,                0.13738,                0.06251,                 2.0342,                 3.9346,                 3.7629,                 2.6804,              0.0083418,              0.0083418,              0.0083418
                     69,                 1.6943,                 3.5297,                 2.5569,                  2.203,                0.45458,                0.20708,                0.07919,                0.03388,                 0.4384,                0.13155,                0.05894,                0.02237,                 2.0355,                 4.2561,                 3.4825,                 2.7811,               0.008317,               0.008317,               0.008317
                     70,                 1.6653,                 3.4973,                  2.542,                 2.1839,                0.24225,                0.28272,                0.17052,                0.09358,                0.61316,                0.15907,                0.14409,                0.06124,                 1.9515,                 4.0128,                 3.2501,                 2.6832,              0.0082922,              0.0082922,              0.0082922
                     71,                 1.6638,                 3.4591,                 2.5225,                 2.1165,                0.18173,                0.33936,                0.13093,                0.06596,                0.17757,                 0.3073,                0.11992,                0.05225,                 1.9496,                 4.0697,                 4.0385,                 2.6822,              0.0082675,              0.0082675,              0.0082675
                     72,                 1.6828,                 3.4983,                  2.529,                 2.1502,                0.51972,                0.13868,                0.09354,                0.04074,                0.52454,                0.14046,                0.10483,                 0.0354,                 2.4696,                 3.9845,                 3.9271,                 3.1043,              0.0082428,              0.0082428,              0.0082428
                     73,                 1.6908,                 3.4098,                 2.4882,                 2.1789,                0.21812,                0.31084,                0.19316,                0.10341,                 0.1814,                0.25226,                 0.1601,                0.06821,                 1.8677,                 4.2774,                 2.9651,                 2.5597,               0.008218,               0.008218,               0.008218
                     74,                  1.653,                 3.4497,                 2.4649,                 2.1404,                0.49472,                0.19079,                0.12023,                0.06031,                0.49251,                0.18705,                0.11429,                0.05095,                 1.9883,                 3.9879,                 3.6867,                 2.6956,              0.0081932,              0.0081932,              0.0081932
                     75,                 1.6555,                 3.4089,                 2.4441,                 2.1332,                0.22976,                0.22723,                0.13309,                0.06283,                 0.2147,                0.20783,                0.13145,                0.05282,                 2.0943,                 4.0412,                 3.0631,                 2.7257,              0.0081685,              0.0081685,              0.0081685
                     76,                 1.6564,                 3.4905,                 2.4557,                 2.1405,                0.42005,                0.20325,                0.19271,                0.10044,                0.37552,                0.17036,                0.16246,                0.07207,                 1.9618,                 4.0268,                 2.8042,                 2.6587,              0.0081437,              0.0081437,              0.0081437
                     77,                 1.6175,                 3.4877,                 2.4362,                 2.1218,                0.13673,                 0.3395,                0.19966,                0.10702,                0.47457,                0.33517,                 0.1952,                0.09471,                 1.8644,                 3.7964,                 3.5216,                 2.5483,               0.008119,               0.008119,               0.008119
                     78,                 1.6068,                 3.4095,                 2.3158,                 2.0901,                0.16384,                0.35612,                0.16511,                0.08291,                 0.1753,                0.32323,                  0.144,                0.05607,                 1.7047,                 3.8958,                 2.9505,                  2.418,              0.0080942,              0.0080942,              0.0080942
                     79,                 1.6628,                 3.4202,                 2.3996,                  2.137,                 0.1499,                 0.1095,                0.07287,                0.04013,                0.55215,                0.06455,                0.06279,                0.02069,                 2.2128,                  5.262,                  4.075,                 3.0831,              0.0080695,              0.0080695,              0.0080695
                     80,                 1.6344,                 3.4317,                 2.3489,                 2.0832,                0.08737,                0.68103,                0.18248,                0.08907,                0.09689,                0.54907,                0.14501,                0.05358,                  1.956,                 5.4915,                 4.2882,                 2.6427,              0.0080447,              0.0080447,              0.0080447
                     81,                 1.6088,                 3.4418,                 2.3907,                 2.0776,                 0.7416,                0.08989,                0.09863,                0.04879,                0.73812,                0.07562,                0.06774,                0.02201,                 2.0989,                 4.9023,                 4.3581,                 2.9754,                0.00802,                0.00802,                0.00802
                     82,                 1.6308,                 3.4093,                 2.4704,                 2.1199,                0.47179,                0.20115,                0.14595,                0.07266,                0.47186,                0.18991,                0.14064,                0.05515,                 1.9831,                 4.0252,                 4.2298,                 2.6936,              0.0079953,              0.0079953,              0.0079953
                     83,                 1.6435,                 3.4546,                 2.4415,                 2.1228,                0.49458,                 0.1833,                0.13685,                0.07906,                 0.2016,                0.25827,                0.13135,                0.05842,                 1.7268,                 3.7756,                 3.6402,                 2.4576,              0.0079705,              0.0079705,              0.0079705
                     84,                 1.6275,                 3.4717,                 2.4791,                 2.1388,                0.50165,                0.24873,                 0.1468,                 0.0654,                0.49654,                0.24124,                0.14368,                0.04986,                 1.7718,                 3.8884,                 3.9836,                 2.4981,              0.0079457,              0.0079457,              0.0079457
                     85,                  1.624,                 3.4438,                 2.4349,                 2.0884,                0.18759,                0.25543,                0.21534,                 0.1101,                0.21518,                0.25493,                 0.2092,                 0.0822,                 1.9342,                 4.0742,                 3.0366,                 2.7309,               0.007921,               0.007921,               0.007921
                     86,                 1.6406,                 3.3609,                 2.4274,                 2.1167,                0.36502,                0.21332,                0.20872,                0.12104,                0.49463,                 0.1946,                 0.1946,                0.08818,                 1.8289,                 3.9352,                 3.0482,                 2.6669,              0.0078963,              0.0078963,              0.0078963
                     87,                 1.5683,                  3.325,                 2.4214,                 2.0971,                0.32004,                0.20372,                0.15257,                0.07545,                0.32359,                0.16123,                0.13039,                0.05874,                 1.9729,                 4.1223,                  3.271,                  2.758,              0.0078715,              0.0078715,              0.0078715
                     88,                 1.5797,                 3.3182,                 2.2797,                   2.02,                0.20624,                 0.2836,                0.18284,                0.10296,                0.21134,                0.23819,                0.17203,                0.08034,                 1.7518,                 3.6954,                 2.6932,                 2.4533,              0.0078467,              0.0078467,              0.0078467
                     89,                 1.6138,                  3.325,                 2.3325,                 2.0946,                0.33789,                0.27202,                0.25077,                0.10723,                0.35087,                0.24076,                0.21913,                0.08867,                 2.1254,                 3.8512,                 2.6193,                 2.8356,               0.007822,               0.007822,               0.007822
                     90,                 1.6134,                  3.297,                 2.3293,                 2.0727,                0.24017,                0.43174,                0.27807,                0.13788,                0.23752,                0.41676,                0.26692,                0.11862,                 1.8654,                 3.6629,                 2.4477,                 2.5187,              0.0077973,              0.0077973,              0.0077973
                     91,                 1.5948,                 3.3675,                 2.3479,                 2.0644,                0.24358,                0.26173,                0.23455,                 0.1257,                0.25408,                 0.2503,                0.22631,                0.10974,                 1.7884,                 3.6545,                 2.5265,                 2.4398,              0.0077725,              0.0077725,              0.0077725
                     92,                 1.6259,                 3.3779,                 2.3676,                 2.1064,                0.45348,                0.27671,                0.13107,                0.06982,                0.45164,                0.27671,                0.12942,                0.05544,                 1.9969,                 3.8162,                 3.0953,                 2.6696,              0.0077478,              0.0077478,              0.0077478
