                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.2429,                 1.6081,                 1.6928,                0.69496,                0.40321,                0.49744,                0.34256,                 1.2819,                 1.6063,                  1.765,                0.00802,                0.00802,                0.00802
                     52,                 1.2441,                 1.5911,                 1.6846,                0.64515,                0.39254,                0.45924,                0.31568,                 1.2365,                 1.6921,                 1.7785,              0.0079804,              0.0079804,              0.0079804
                     53,                 1.2434,                 1.5998,                 1.6951,                0.62413,                0.44304,                0.48842,                0.33078,                 1.2231,                 1.8059,                 1.7288,              0.0079408,              0.0079408,              0.0079408
                     54,                 1.2379,                 1.5894,                 1.6951,                0.68628,                0.39802,                0.46313,                0.31385,                 1.2014,                 1.6394,                  1.715,              0.0079012,              0.0079012,              0.0079012
                     55,                  1.257,                 1.6256,                 1.7003,                0.57651,                0.52309,                0.50964,                0.34538,                 1.2232,                 1.5359,                 1.7461,              0.0078616,              0.0078616,              0.0078616
                     56,                 1.2554,                 1.6203,                 1.7067,                 0.6425,                0.37388,                0.45138,                0.31368,                 1.2348,                 1.7315,                 1.7557,               0.007822,               0.007822,               0.007822
                     57,                  1.249,                 1.6055,                 1.6909,                0.63697,                0.37358,                0.44372,                0.30195,                 1.2637,                 1.7688,                 1.7752,              0.0077824,              0.0077824,              0.0077824
                     58,                 1.2423,                  1.581,                 1.6899,                0.55594,                0.46984,                0.49354,                0.34318,                 1.1846,                 1.5503,                 1.7006,              0.0077428,              0.0077428,              0.0077428
                     59,                  1.227,                  1.585,                 1.6697,                0.66338,                0.38371,                0.46009,                0.31471,                 1.2802,                 1.7515,                 1.8173,              0.0077032,              0.0077032,              0.0077032
                     60,                 1.2259,                 1.5898,                 1.6746,                0.58886,                 0.4586,                0.50955,                0.35049,                 1.1558,                 1.4727,                 1.6848,              0.0076636,              0.0076636,              0.0076636
                     61,                 1.2265,                 1.5774,                  1.676,                 0.6476,                0.37446,                0.46783,                0.32338,                 1.2758,                 1.9807,                 1.8118,               0.007624,               0.007624,               0.007624
                     62,                 1.2407,                 1.5918,                 1.6725,                0.56822,                0.35998,                0.36195,                0.24834,                 1.4832,                 2.4667,                 2.0808,              0.0075844,              0.0075844,              0.0075844
                     63,                  1.247,                 1.5936,                 1.6931,                0.49437,                0.47274,                0.47631,                0.32933,                  1.161,                 1.6046,                 1.6785,              0.0075448,              0.0075448,              0.0075448
                     64,                 1.2285,                 1.5848,                 1.6795,                0.63889,                0.35872,                0.42527,                0.29027,                 1.3583,                 1.6666,                 1.8567,              0.0075052,              0.0075052,              0.0075052
                     65,                 1.2293,                 1.5766,                 1.6781,                0.67005,                0.37713,                0.46916,                0.33378,                 1.1731,                 1.6176,                 1.6555,              0.0074656,              0.0074656,              0.0074656
                     66,                 1.2383,                 1.6046,                  1.692,                0.52944,                0.47353,                0.52285,                0.35274,                 1.1783,                 1.5672,                 1.6857,               0.007426,               0.007426,               0.007426
                     67,                 1.2201,                 1.5657,                 1.6642,                0.59986,                0.39403,                0.39625,                0.27919,                 1.3345,                   2.05,                 1.9004,              0.0073864,              0.0073864,              0.0073864
                     68,                 1.2233,                 1.5629,                 1.6598,                0.63284,                0.49127,                0.53189,                0.36713,                 1.1575,                 1.4711,                  1.691,              0.0073468,              0.0073468,              0.0073468
                     69,                  1.205,                 1.5325,                 1.6535,                 0.5576,                0.53739,                0.54418,                0.36767,                 1.1498,                 1.4008,                 1.6704,              0.0073072,              0.0073072,              0.0073072
                     70,                 1.2233,                 1.5493,                  1.658,                0.62832,                0.45041,                0.52662,                0.36267,                 1.1356,                  1.517,                 1.6264,              0.0072676,              0.0072676,              0.0072676
                     71,                  1.217,                 1.5582,                 1.6646,                0.55503,                0.44934,                0.48221,                0.33994,                 1.1877,                 1.5208,                 1.7113,               0.007228,               0.007228,               0.007228
                     72,                 1.2469,                 1.5859,                 1.6955,                0.60844,                0.47032,                0.52322,                0.36134,                  1.154,                 1.4662,                 1.6852,              0.0071884,              0.0071884,              0.0071884
                     73,                 1.1893,                 1.5273,                 1.6412,                0.63222,                 0.3946,                0.45188,                0.32377,                 1.1572,                 1.6467,                 1.6908,              0.0071488,              0.0071488,              0.0071488
                     74,                 1.2208,                 1.5562,                 1.6767,                0.51419,                0.51597,                0.49745,                0.34051,                 1.2327,                 1.5083,                  1.761,              0.0071092,              0.0071092,              0.0071092
                     75,                 1.2216,                 1.5515,                 1.6721,                0.45639,                0.47463,                0.42982,                0.30167,                 1.1903,                 1.6909,                 1.7198,              0.0070696,              0.0070696,              0.0070696
                     76,                 1.2232,                 1.5612,                 1.6666,                0.66032,                0.41005,                0.50391,                 0.3455,                 1.1534,                 1.8393,                 1.6722,                0.00703,                0.00703,                0.00703
                     77,                 1.2066,                 1.5344,                 1.6459,                0.61775,                0.36984,                0.44056,                  0.317,                 1.2104,                 1.7256,                 1.7476,              0.0069904,              0.0069904,              0.0069904
                     78,                 1.2204,                 1.5628,                 1.6691,                0.62591,                0.44992,                0.48012,                0.31321,                 1.3709,                 1.5669,                 1.9024,              0.0069508,              0.0069508,              0.0069508
                     79,                 1.2195,                 1.5596,                 1.6632,                0.65489,                0.37812,                0.45045,                0.31842,                 1.1846,                   1.57,                  1.735,              0.0069112,              0.0069112,              0.0069112
                     80,                 1.1997,                 1.5317,                 1.6438,                0.65282,                0.42293,                 0.4741,                0.32991,                 1.1596,                 1.4748,                 1.6909,              0.0068716,              0.0068716,              0.0068716
                     81,                  1.185,                 1.5107,                 1.6364,                  0.619,                0.46509,                0.51981,                 0.3623,                 1.1173,                 1.4746,                 1.6509,               0.006832,               0.006832,               0.006832
                     82,                 1.1993,                 1.5426,                 1.6522,                0.67191,                0.38683,                0.41159,                0.30411,                 1.2287,                 2.2029,                 1.7522,              0.0067924,              0.0067924,              0.0067924
                     83,                 1.2116,                 1.5366,                 1.6546,                0.54105,                0.51365,                0.52068,                0.35894,                 1.1561,                 1.5609,                 1.6847,              0.0067528,              0.0067528,              0.0067528
                     84,                 1.1858,                 1.5226,                 1.6298,                0.61134,                0.52319,                0.53872,                0.37842,                 1.0875,                 1.3954,                   1.61,              0.0067132,              0.0067132,              0.0067132
                     85,                 1.1792,                 1.5029,                 1.6209,                0.56428,                0.53341,                0.55793,                0.37887,                 1.1564,                 1.3462,                  1.679,              0.0066736,              0.0066736,              0.0066736
                     86,                  1.181,                 1.5034,                 1.6261,                0.64473,                 0.4273,                0.46125,                0.32106,                 1.1474,                 1.5856,                 1.6674,               0.006634,               0.006634,               0.006634
                     87,                 1.1963,                 1.5169,                 1.6359,                0.61328,                0.50283,                0.52586,                  0.364,                 1.1601,                 1.4861,                 1.6646,              0.0065944,              0.0065944,              0.0065944
                     88,                 1.1848,                 1.5059,                 1.6362,                0.58541,                0.44627,                0.49363,                0.32731,                 1.2611,                 1.5893,                 1.7398,              0.0065548,              0.0065548,              0.0065548
                     89,                 1.1856,                 1.5165,                  1.636,                0.68075,                0.40999,                0.51151,                0.35981,                 1.1293,                 1.4281,                 1.6551,              0.0065152,              0.0065152,              0.0065152
                     90,                 1.1855,                 1.5028,                 1.6383,                0.64805,                0.41432,                0.50085,                0.34093,                  1.207,                 1.4582,                 1.7418,              0.0064756,              0.0064756,              0.0064756
                     91,                 1.1982,                  1.516,                 1.6423,                0.65452,                0.42598,                0.52918,                0.36484,                 1.0804,                 1.5174,                 1.5898,               0.006436,               0.006436,               0.006436
                     92,                 1.1961,                 1.5228,                 1.6486,                0.67025,                0.36281,                0.41452,                0.29592,                 1.2185,                 1.8992,                 1.7776,              0.0063964,              0.0063964,              0.0063964
                     93,                 1.2067,                  1.532,                 1.6576,                0.59294,                0.48799,                 0.4782,                0.32516,                 1.2038,                  1.583,                 1.7149,              0.0063568,              0.0063568,              0.0063568
                     94,                 1.1843,                 1.5075,                 1.6239,                0.60683,                0.50251,                0.50322,                0.34508,                 1.1759,                  1.625,                 1.6967,              0.0063172,              0.0063172,              0.0063172
                     95,                 1.1692,                 1.4802,                 1.6179,                0.52095,                0.51848,                0.52258,                0.36926,                  1.174,                 1.4045,                 1.6879,              0.0062776,              0.0062776,              0.0062776
                     96,                 1.1573,                 1.4759,                 1.6064,                0.55777,                0.48053,                0.53424,                0.37077,                 1.1281,                 1.4571,                  1.672,               0.006238,               0.006238,               0.006238
                     97,                 1.1715,                 1.4869,                 1.6235,                0.66751,                0.39863,                0.48122,                0.34094,                 1.1296,                 1.5151,                 1.6363,              0.0061984,              0.0061984,              0.0061984
                     98,                 1.1741,                 1.4885,                 1.6154,                0.66029,                0.42757,                0.52408,                0.37025,                 1.0781,                 1.4423,                 1.5973,              0.0061588,              0.0061588,              0.0061588
                     99,                 1.1679,                 1.4795,                 1.6189,                0.61803,                0.50795,                 0.5795,                0.40233,                 1.0654,                 1.3887,                 1.5914,              0.0061192,              0.0061192,              0.0061192
                    100,                  1.168,                 1.4838,                 1.6112,                 0.5494,                0.55157,                 0.5512,                0.37977,                 1.1738,                 1.4056,                  1.664,              0.0060796,              0.0060796,              0.0060796
                    101,                  1.158,                 1.4806,                 1.6044,                0.61551,                0.44117,                 0.5125,                0.35976,                 1.0815,                 1.5563,                 1.6074,                0.00604,                0.00604,                0.00604
                    102,                 1.1732,                 1.4759,                 1.6198,                0.62904,                0.41401,                0.48685,                0.33356,                 1.1712,                 2.0601,                 1.7308,              0.0060004,              0.0060004,              0.0060004
                    103,                 1.1755,                 1.4846,                 1.6316,                0.52876,                0.54796,                0.53466,                0.37475,                 1.1256,                 1.4056,                 1.6373,              0.0059608,              0.0059608,              0.0059608
                    104,                 1.1551,                  1.456,                 1.6064,                0.59158,                0.52668,                0.55613,                0.38674,                 1.1168,                 1.4958,                 1.6196,              0.0059212,              0.0059212,              0.0059212
                    105,                 1.1623,                 1.4657,                 1.6051,                0.69942,                0.35607,                0.43354,                0.30889,                 1.2492,                 1.7832,                 1.7872,              0.0058816,              0.0058816,              0.0058816
                    106,                  1.158,                 1.4641,                 1.6042,                0.61012,                 0.5245,                0.53992,                0.37823,                 1.0963,                 1.4735,                 1.6244,               0.005842,               0.005842,               0.005842
                    107,                 1.1623,                 1.4756,                 1.6163,                0.67083,                 0.4249,                0.49499,                0.35057,                 1.1149,                 1.5262,                 1.6334,              0.0058024,              0.0058024,              0.0058024
                    108,                 1.1669,                 1.4724,                 1.6085,                0.60549,                0.54595,                0.58834,                0.40434,                 1.0869,                 1.2507,                 1.5968,              0.0057628,              0.0057628,              0.0057628
                    109,                 1.1556,                  1.452,                 1.6001,                0.57167,                0.48946,                0.52611,                0.37104,                 1.1011,                 1.4058,                 1.6105,              0.0057232,              0.0057232,              0.0057232
                    110,                 1.1565,                 1.4746,                 1.6096,                0.62049,                0.50228,                 0.5614,                0.38293,                 1.1304,                 1.4376,                 1.6397,              0.0056836,              0.0056836,              0.0056836
                    111,                 1.1861,                 1.5061,                 1.6346,                0.62344,                0.49591,                0.54862,                0.35729,                 1.1929,                 1.5557,                  1.706,               0.005644,               0.005644,               0.005644
                    112,                 1.1448,                 1.4473,                 1.5923,                0.54669,                0.49283,                0.51027,                0.35546,                 1.1195,                 1.4435,                 1.6726,              0.0056044,              0.0056044,              0.0056044
                    113,                  1.149,                  1.437,                 1.5975,                0.66039,                0.43729,                0.50013,                0.35968,                  1.057,                 1.4945,                 1.5946,              0.0055648,              0.0055648,              0.0055648
                    114,                 1.1496,                 1.4445,                  1.599,                0.57636,                0.49546,                0.54288,                 0.3831,                 1.1093,                 1.5006,                  1.621,              0.0055252,              0.0055252,              0.0055252
                    115,                 1.1621,                 1.4678,                 1.6119,                0.66646,                0.37365,                0.41059,                0.29374,                 1.3372,                 1.8131,                  1.876,              0.0054856,              0.0054856,              0.0054856
                    116,                 1.1459,                 1.4349,                 1.5982,                0.57512,                0.55072,                0.55005,                0.37766,                 1.0795,                 1.4125,                 1.6136,               0.005446,               0.005446,               0.005446
                    117,                  1.156,                 1.4487,                 1.6052,                0.66194,                0.55009,                0.58977,                0.40806,                 1.0895,                 1.3026,                 1.5949,              0.0054064,              0.0054064,              0.0054064
                    118,                 1.1685,                 1.4728,                 1.6098,                0.60762,                 0.4862,                0.51841,                0.36893,                 1.0643,                 1.3641,                 1.5662,              0.0053668,              0.0053668,              0.0053668
                    119,                 1.1542,                 1.4618,                 1.6086,                0.61118,                0.52143,                  0.544,                0.37744,                 1.0789,                 1.3108,                 1.5746,              0.0053272,              0.0053272,              0.0053272
                    120,                 1.1387,                 1.4203,                 1.5813,                0.57674,                0.55655,                0.56844,                0.40438,                 1.0381,                 1.3306,                 1.5817,              0.0052876,              0.0052876,              0.0052876
                    121,                 1.1293,                 1.4276,                 1.5772,                0.55402,                0.57315,                0.58062,                0.41154,                 1.0551,                 1.3419,                 1.5651,               0.005248,               0.005248,               0.005248
                    122,                 1.1499,                 1.4674,                 1.6025,                0.56295,                0.50753,                0.52749,                0.37251,                   1.11,                  1.413,                 1.6223,              0.0052084,              0.0052084,              0.0052084
                    123,                 1.1252,                 1.4114,                 1.5718,                0.52083,                0.56921,                0.55459,                0.37264,                 1.1547,                 1.3626,                  1.691,              0.0051688,              0.0051688,              0.0051688
                    124,                 1.1335,                  1.417,                 1.5816,                0.62868,                0.52664,                0.55306,                0.38893,                 1.0952,                 1.4876,                 1.6138,              0.0051292,              0.0051292,              0.0051292
                    125,                 1.1163,                 1.4171,                  1.568,                0.59975,                0.58042,                0.56814,                0.40122,                 1.0562,                 1.3159,                 1.5761,              0.0050896,              0.0050896,              0.0050896
                    126,                 1.1293,                 1.4195,                 1.5795,                0.56301,                0.51077,                0.54218,                0.37345,                 1.1271,                 1.4052,                 1.6212,                0.00505,                0.00505,                0.00505
                    127,                 1.1214,                 1.4027,                 1.5684,                0.62028,                0.48529,                0.52777,                0.37662,                 1.1308,                 1.4744,                 1.6548,              0.0050104,              0.0050104,              0.0050104
                    128,                 1.1201,                  1.409,                 1.5686,                0.54255,                0.60891,                0.58377,                0.40419,                 1.0502,                 1.3672,                 1.5635,              0.0049708,              0.0049708,              0.0049708
                    129,                 1.1233,                 1.4251,                 1.5818,                0.58342,                0.51792,                0.56268,                0.39013,                 1.0622,                 1.6051,                 1.5733,              0.0049312,              0.0049312,              0.0049312
                    130,                 1.1189,                 1.4073,                 1.5751,                0.63423,                  0.507,                0.54919,                0.38524,                  1.061,                  1.334,                 1.5742,              0.0048916,              0.0048916,              0.0048916
                    131,                 1.1208,                 1.3982,                 1.5585,                0.63661,                 0.5284,                0.59398,                0.40989,                 1.0849,                 1.2894,                 1.5934,               0.004852,               0.004852,               0.004852
                    132,                 1.1127,                 1.3873,                 1.5551,                0.65386,                0.52907,                0.59146,                0.40417,                 1.0994,                 1.3259,                 1.6212,              0.0048124,              0.0048124,              0.0048124
                    133,                 1.1204,                 1.4009,                 1.5736,                0.66622,                0.46168,                0.55028,                0.38746,                 1.0359,                 1.4884,                 1.5653,              0.0047728,              0.0047728,              0.0047728
                    134,                 1.1113,                 1.3888,                 1.5656,                0.61989,                0.55414,                0.57025,                0.40165,                 1.0192,                 1.3522,                 1.5528,              0.0047332,              0.0047332,              0.0047332
                    135,                 1.1352,                 1.4071,                  1.587,                0.61832,                0.53173,                0.56927,                0.39115,                 1.0403,                 1.3126,                 1.5388,              0.0046936,              0.0046936,              0.0046936
                    136,                 1.1165,                  1.392,                 1.5624,                0.61567,                0.59988,                0.61108,                0.41978,                 1.0527,                 1.2562,                 1.5531,               0.004654,               0.004654,               0.004654
                    137,                 1.1145,                 1.3895,                 1.5622,                0.59607,                0.49485,                 0.5444,                0.37582,                 1.1306,                 1.3799,                 1.6352,              0.0046144,              0.0046144,              0.0046144
                    138,                 1.1172,                  1.404,                 1.5742,                0.63556,                0.43362,                0.48398,                0.35209,                 1.1164,                 1.5648,                 1.6316,              0.0045748,              0.0045748,              0.0045748
                    139,                  1.105,                 1.3802,                 1.5529,                 0.6116,                 0.5081,                0.55363,                0.38748,                 1.0926,                 1.2846,                 1.6079,              0.0045352,              0.0045352,              0.0045352
                    140,                 1.1213,                 1.4098,                 1.5693,                0.57216,                0.54001,                0.56583,                0.39214,                 1.0815,                 1.3617,                 1.5808,              0.0044956,              0.0044956,              0.0044956
                    141,                 1.1041,                 1.3782,                 1.5506,                0.54365,                0.53305,                 0.5482,                0.38437,                 1.0984,                 1.3119,                 1.6262,               0.004456,               0.004456,               0.004456
                    142,                 1.1012,                 1.3844,                 1.5572,                0.68197,                0.41009,                0.52982,                0.37393,                 1.1595,                 1.5096,                 1.6756,              0.0044164,              0.0044164,              0.0044164
                    143,                  1.091,                 1.3709,                 1.5457,                0.55681,                0.58366,                0.59868,                0.42036,                 1.0388,                 1.2648,                 1.5394,              0.0043768,              0.0043768,              0.0043768
                    144,                 1.1058,                 1.3827,                 1.5661,                0.62573,                0.51173,                0.54798,                0.38466,                 1.0221,                  1.562,                 1.5252,              0.0043372,              0.0043372,              0.0043372
                    145,                 1.0913,                 1.3637,                  1.549,                0.55577,                0.52175,                0.55928,                0.39867,                 1.0343,                 1.3837,                 1.5497,              0.0042976,              0.0042976,              0.0042976
                    146,                 1.1064,                  1.377,                 1.5522,                0.61853,                0.55571,                0.59728,                0.40295,                 1.0795,                 1.3356,                 1.5767,               0.004258,               0.004258,               0.004258
                    147,                 1.0916,                 1.3743,                  1.541,                0.60229,                0.56779,                0.60076,                0.42068,                  1.042,                 1.2799,                 1.5814,              0.0042184,              0.0042184,              0.0042184
                    148,                 1.1013,                 1.3884,                 1.5537,                0.68401,                0.54404,                0.62594,                0.42943,                  1.026,                 1.2411,                 1.5433,              0.0041788,              0.0041788,              0.0041788
                    149,                 1.0937,                 1.3694,                 1.5485,                 0.6161,                 0.6141,                0.63511,                0.44545,                 0.9942,                 1.1889,                 1.5164,              0.0041392,              0.0041392,              0.0041392
                    150,                 1.0939,                 1.3597,                 1.5454,                0.56809,                0.55778,                0.58239,                0.41462,                 1.0421,                 1.2661,                 1.5463,              0.0040996,              0.0040996,              0.0040996
